city,x,y
Adana,8,-114
Adiyaman,149,-75
Afyon,-250,-21
Agri,377,63
Amasya,12,111
Ankara,-148,58
Antalya,-239,-138
Artvin,307,166
Aydin,-390,-77
Balikesir,-389,53
Bilecik,-272,72
Bingol,267,18
Bitlis,348,-7
Bolu,-192,106
Burdur,-283,-100
Bursa,-323,77
Canakkale,-441,76
Cankiri,-110,108
Corum,-47,105
Denizli,-320,-80
Diyarbakir,244,-46
Edirne,-451,155
Elazig,204,-16
Erzincan,195,53
Erzurum,299,90
Eskisehir,-229,41
Gaziantep,98,-125
Giresun,150,120
Gumushane,193,97
Hakkari,449,-62
Hatay,42,-174
Isparta,-232,-71
Mersin,-84,-157
Istanbul,-321,143
Izmir,-415,-40
Kars,378,120
Kastamonu,-92,166
Kayseri,15,-17
Kirklareli,-401,181
Kirsehir,-72,22
Kocaeli,-273,127
Konya,-155,-65
Kutahya,-301,19
Malatya,130,-28
Manisa,-374,-12
Kahramanmaras,78,-72
Mardin,285,-97
Mugla,-361,-128
Mus,324,17
Nevsehir,-43,-18
Nigde,-39,-72
Ordu,96,125
Rize,260,142
Sakarya,-250,112
Samsun,28,145
Siirt,356,-51
Sinop,-33,178
Sivas,92,42
Tekirdag,-403,144
Tokat,56,97
Trabzon,210,135
Tunceli,202,21
Sanliurfa,189,-114
Usak,-312,-34
Van,420,-7
Yozgat,-12,38
Zonguldak,-187,149
Aksaray,-83,-43
Bayburt,235,97
Karaman,-111,-112
Kirikkale,-91,52
Batman,303,-50
Sirnak,375,-80
Bartin,-151,167
Ardahan,358,168
Igdir,431,91
Yalova,-316,109
Karabuk,-146,135
Kilis,89,-151
Osmaniye,46,-116
Duzce,-213,125
